datetime_beginning_ept          LMP Realtime               CCP                 PCP            Mileage        Perf. Score   R      Reward          Pavg
                   5/1/2018 0:00                 259.865751               227.9           2.46           20.7             1      1         278.822            1.072946315
                   5/1/2018 1:00                 112.886788               87.88           3.28           31.2             1      1         190.216            1.685015611
                   5/1/2018 2:00                  192.33927              153.01           2.29           21.1             1      1         201.329            1.046738921
                   5/1/2018 3:00                 103.220107               46.07           2.47           32.7             1      1         126.839             1.22882066
                   5/1/2018 4:00                 213.517315              406.48           1.43           31.4             1      1         451.382            2.114029956
                   5/1/2018 5:00                 136.328318              218.61           8.29           29.7             1      1         464.823            3.409585087
                   5/1/2018 6:00                  83.282841               27.88           0.86           22.3             1      1          47.058            0.565038361
                   5/1/2018 7:00                  86.398753               76.24           1.81           20.5             1      1         113.345             1.31188236
                   5/1/2018 8:00                  75.572279               27.67           1.54           33.1             1      1          78.644            1.040646134
                   5/1/2018 9:00                  40.372032                78.7           0.85           34.7             1      1         108.195            2.679949327
                  5/1/2018 10:00                  89.853301               51.66           0.72           20.9             1      1          66.708             0.74241012
                  5/1/2018 11:00                  110.81362              105.12           0.25           30.6             1      1          112.77            1.017654689
                  5/1/2018 12:00                   85.58432              139.02           1.49           29.7             1      1         183.273            2.141431982
                  5/1/2018 13:00                  71.184237               32.05           0.53           18.3             1      1          41.749            0.586492203
                  5/1/2018 14:00                  71.384139               93.73           0.59           26.7             1      1         109.483            1.533716054
                  5/1/2018 15:00                  72.010485              104.93           0.04           22.5             1      1          105.83            1.469647094
                  5/1/2018 16:00                 123.258471              323.19           2.66           29.4             1      1         401.394            3.256522629
                  5/1/2018 17:00                 164.355601              169.54           0.92           29.6             1      1         196.772            1.197233309
                  5/1/2018 18:00                 177.179443               156.2           1.51           29.9             1      1         201.349            1.136412874
                  5/1/2018 19:00                 199.124643              167.73           0.17           27.9             1      1         172.473            0.866155978
                  5/1/2018 20:00                 149.189007              102.54           0.41           20.7             1      1         111.027            0.744203626
                  5/1/2018 21:00                 124.254516              133.76           1.16           31.5             1      1           170.3            1.370573927
                  5/1/2018 22:00                  79.769671               61.68           1.48           29.2             1      1         104.896            1.314985993
                  5/1/2018 23:00                  99.975176                 149           2.63           28.3             1      1         223.429            2.234844778
                   5/2/2018 0:00                 169.334873               66.14              0           24.3             1      1           66.14               0.390587
                   5/2/2018 1:00                  164.65224               79.76           0.33             27             1      1           88.67            0.538528963
                   5/2/2018 2:00                 308.579821              175.52           1.94           25.8             1      1         225.572            0.731000489
                   5/2/2018 3:00                 165.249993               75.91           2.08           23.7             1      1         125.206             0.75767628
                   5/2/2018 4:00                 122.102033              170.59           2.01           27.6             1      1         226.066            1.851451564
                   5/2/2018 5:00                 161.270175              213.83           1.93           22.1             1      1         256.483            1.590393264
                   5/2/2018 6:00                 192.314372              197.93              0           17.2             1      1          197.93            1.029200251
                   5/2/2018 7:00                 170.170478               66.83           0.55           27.9             1      1          82.175            0.482898097
                   5/2/2018 8:00                 165.496701               83.44           0.31           24.6             1      1          91.066            0.550258703
                   5/2/2018 9:00                 116.908222                7.22              0           14.6             1      1            7.22            0.061757846
                  5/2/2018 10:00                 127.260049               44.76              0           31.9             1      1           44.76            0.351720751
                  5/2/2018 11:00                 133.071266               311.6              0           32.9             1      1           311.6            2.341602431
                  5/2/2018 12:00                 134.300547              129.34           2.77           23.8             1      1         195.266            1.453947913
                  5/2/2018 13:00                  77.365265               96.03           1.09           31.2             1      1         130.038            1.680831831
                  5/2/2018 14:00                  96.842741               58.77           0.73           28.8             1      1          79.794            0.823954374
                  5/2/2018 15:00                 101.597209               90.06           1.95           26.8             1      1          142.32            1.400825883
                  5/2/2018 16:00                 136.708152              281.83           1.88           22.2             1      1         323.566            2.366837641
                  5/2/2018 17:00                 134.415926               85.03           0.89             25             1      1          107.28            0.798119711
                  5/2/2018 18:00                 179.484163              146.11           1.32           26.4             1      1         180.958            1.008211516
                  5/2/2018 19:00                 124.521185                88.4           1.11             30             1      1           121.7            0.977343735
                  5/2/2018 20:00                 157.606509               75.88           0.56           22.6             1      1          88.536            0.561753449
                  5/2/2018 21:00                 118.567155              140.11            1.5           25.7             1      1          178.66            1.506825394
                  5/2/2018 22:00                  59.831421               73.55           3.66           24.7             1      1         163.952            2.740232427
                  5/2/2018 23:00                  98.521607               87.94            1.5           23.8             1      1          123.64            1.254953139
                   5/3/2018 0:00                 104.901982              143.65           3.17           23.9             1      1         219.413            2.091600138
                   5/3/2018 1:00                 173.858675              166.89           1.29           25.7             1      1         200.043            1.150606951
                   5/3/2018 2:00                 142.391088              290.39           1.56           30.8             1      1         338.438              2.3768201
                   5/3/2018 3:00                 173.043298              169.92           2.14           22.4             1      1         217.856            1.258968146
                   5/3/2018 4:00                 189.783327              249.55           1.72           28.7             1      1         298.914            1.575027716
                   5/3/2018 5:00                 282.678402              363.75           2.28           27.5             1      1          426.45            1.508604821
                   5/3/2018 6:00                 212.999474              141.48              0           18.1             1      1          141.48            0.664226992
                   5/3/2018 7:00                 110.946813              458.29           0.71           19.6             1      1         472.206            4.256147493
                   5/3/2018 8:00                 118.218823               27.59           0.86           31.4             1      1          54.594            0.461804632
                   5/3/2018 9:00                  118.86035                0.75              0           30.4             1      1            0.75            0.006309926
                  5/3/2018 10:00                 122.107504               69.12           0.72           28.8             1      1          89.856            0.735876151
                  5/3/2018 11:00                  147.39426                 141           2.42           24.6             1      1         200.532             1.36051431
                  5/3/2018 12:00                 113.673777               50.76           2.61           25.8             1      1         118.098            1.038920348
                  5/3/2018 13:00                 134.556228              230.41           1.72           14.5             1      1          255.35            1.897719666
                  5/3/2018 14:00                 113.181131              109.22           2.25           25.4             1      1          166.37            1.469944668
                  5/3/2018 15:00                 135.775587              233.71           1.51           22.8             1      1         268.138            1.974861652
                  5/3/2018 16:00                 161.694625               159.2           1.49           26.2             1      1         198.238             1.22600241
                  5/3/2018 17:00                 184.121161              226.35           1.97           23.4             1      1         272.448             1.47972128
                  5/3/2018 18:00                 100.888584               87.07           0.76           23.8             1      1         105.158            1.042318128
                  5/3/2018 19:00                 109.007528               55.17           1.18           28.8             1      1          89.154             0.81787012
                  5/3/2018 20:00                 109.848216              105.31           1.33           28.9             1      1         143.747            1.308596582
                  5/3/2018 21:00                  66.257144               71.04           1.08           30.7             1      1         104.196            1.572600232
